GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG003005,152,WAG002998,74,29,.19614487584030726,113.84021861801966
WAG003005,152,WAG002805,341,63,.20010403916768668,198.76805599698105
WAG002233,182,WAG002023,289,96,.31029450549450555,356.6228589700918
WAG002824,184,WAG002805,341,68,.19295024260298735,205.21414899280853
WAG002170,98,WAG002128,64,20,.1751760563380282,82.42363664428456
WAG002170,98,WAG002672,54,20,.19528619528619529,86.51315792227147
WAG002170,98,WAG002694,34,14,.17726819541375874,62.40103286571028
WAG002170,98,WAG003223,87,24,.17442707217819664,95.62277377860072
WAG002170,98,WAG003297,23,13,.20933977455716585,63.451196404998036
WAG002105,120,WAG002310,127,52,.30000000000000004,225.55668860665094
WAG002659,303,WAG002221,106,40,.16219256532187964,125.82228262563422
WAG002819,73,WAG002539,51,16,.1812636165577342,71.15014659955813
WAG002618,60,WAG002938,9,7,.2458781362007169,41.434406539885224
WAG002618,60,WAG002227,47,16,.20874444704231934,76.25727536405202
WAG002618,60,WAG002305,36,14,.21436314363143635,68.91832454933025
WAG002618,60,WAG002377,9,6,.2095238095238096,34.104624469261104
WAG002146,76,WAG002395,34,20,.2954248366013072,104.55897324770649
WAG002146,76,WAG003027,52,16,.17582417582417584,70.06713870952734
WAG002146,76,WAG002145,42,15,.18793342579750347,68.34488151473755
WAG002146,76,WAG002238,23,17,.3136797454931071,94.84131916012345
WAG002840,155,WAG003247,263,64,.22721341352287225,220.15591671359292
WAG002840,155,WAG002234,118,34,.17143465002482094,120.45741102619387
WAG002840,155,WAG003008,68,41,.3008080155138979,185.14390761073048
WAG002186,144,WAG002879,163,49,.2199935400516796,182.25236185779409
WAG002186,144,WAG002365,49,21,.1833887043189369,85.90040793186084
WAG003051,160,WAG002645,132,97,.544918414918415,487.55741170673815
WAG003051,160,WAG003212,430,59,.1626388888888889,162.75352548129376
WAG003051,160,WAG002079,77,28,.17990430622009573,105.71962692156444
WAG002204,136,WAG002023,289,50,.18019607843137256,158.59568631059915
WAG002204,136,WAG002300,107,57,.351703346397347,259.4596254937354
WAG002204,136,WAG002149,328,51,.1737893462469734,156.1078326169841
WAG002104,101,WAG002393,199,39,.1967679526573347,141.4111457294889
WAG002107,114,WAG002473,65,49,.4523076923076923,259.20737063910417
WAG002107,114,WAG002717,135,50,.2887243233712422,213.39479847143548
WAG002996,136,WAG003080,33,30,.3544800523217789,161.6679842883087
WAG002719,41,WAG003103,88,21,.25799457994579944,102.22400348646693
WAG002171,93,WAG002118,55,26,.2650372578241431,122.56002567592644
WAG002171,93,WAG002208,40,14,.16411764705882353,60.38625045346856
WAG002171,93,WAG002940,22,10,.1670995670995671,46.5548689248281
WAG002171,93,WAG002139,55,20,.19772727272727272,87.22681682161834
WAG002171,93,WAG002938,9,7,.2145029239766082,38.23638399850928
WAG002171,93,WAG002205,12,8,.19931271477663232,41.63878213734574
WAG002171,93,WAG002227,47,21,.2305381727158949,97.08442227581914
WAG002171,93,WAG002618,60,18,.16666666666666669,74.31464681591234
WAG003005,152,WAG002938,9,7,.19191919191919196,34.70967824212028
WAG003005,152,WAG002227,47,29,.2598748435544431,131.78766733440204
WAG003005,152,WAG003002,114,35,.18261562998405104,127.43509797493108
WAG003005,152,WAG003080,33,24,.26470920383963864,115.25852332669399
WAG003005,152,WAG002837,72,38,.2689964157706093,164.7963352112884
WAG003005,152,WAG002118,55,29,.2357916241062309,125.15712075054978
WAG002824,184,WAG002393,199,49,.17062613902629525,156.89195693042984
WAG002824,184,WAG003008,68,37,.2464979480164159,154.01943770512082
