GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG003054,60,WAG002554,132,21,.16824561403508773,82.5797303475872
WAG003054,60,WAG002557,25,12,.2275068493150685,62.27600712789831
WAG002317,31,WAG002118,55,18,.32789373814041745,100.3858662292245
WAG002254,46,WAG003039,9,4,.1516339869281046,21.8816924276435
WAG003078,36,WAG002186,144,15,.15606060606060607,60.939663426451496
WAG002022,93,WAG003070,21,15,.2640692640692641,79.41078490617213
WAG002022,93,WAG002145,42,15,.17142857142857146,65.04375051700032
WAG002022,93,WAG002171,93,27,.19391357273280585,111.07687586032488
WAG002273,39,WAG002050,33,11,.2109289617486339,57.398346864900475
WAG002205,12,WAG002445,15,5,.26515151515151514,32.898394479186464
WAG002532,50,WAG002596,246,23,.1593992673992674,83.17314053992824
WAG002949,33,WAG002596,246,22,.20181582360570688,91.24371660121164
WAG003153,56,WAG002164,56,14,.1642857142857143,62.70191396554799
WAG003192,11,WAG002702,86,7,.18949494949494952,36.591975888614115
WAG003080,33,WAG002317,31,8,.16589861751152074,40.86946588275731
WAG003080,33,WAG002118,55,11,.18095238095238095,53.140161784993666
WAG003080,33,WAG002996,136,30,.3544800523217789,161.6679842882844
WAG002104,101,WAG002656,164,30,.16153360016852747,105.2914983386794
WAG002104,101,WAG003153,56,23,.21945628997867805,101.82544315022898
WAG002331,20,WAG002267,81,11,.20777777777777776,55.56173449925871
WAG002317,31,WAG002996,136,13,.15140343527440306,53.795291529945075
WAG002118,55,WAG002312,35,19,.3226559356136821,104.27053676291678
WAG002118,55,WAG003283,92,26,.2664462809917355,122.88710984287843
WAG002118,55,WAG002936,19,8,.18118022328548644,41.0419366634945
WAG002145,42,WAG002536,35,11,.1961904761904762,55.696171051512245
WAG002145,42,WAG003001,96,16,.18110850897736144,70.0825217697693
WAG003070,21,WAG002396,43,9,.21662337662337666,48.726191359477404
WAG002273,39,WAG003170,47,16,.2649084249084249,84.52464657569249
WAG002683,29,WAG002801,63,10,.1665264928511354,47.26854904521389
WAG002683,29,WAG003049,84,16,.2423035904728049,80.19269888347901
WAG002683,29,WAG002815,59,12,.20907441016333944,60.20358303564984
WAG002202,20,WAG003005,152,11,.16465838509316771,48.31618732967206
WAG002208,40,WAG002628,438,26,.17601769911504425,91.2102987881035
WAG003224,153,WAG002278,84,26,.16048296095689465,94.359436818267
WAG002957,17,WAG003232,16,10,.4728260869565217,70.76404104425654
WAG002957,17,WAG003234,22,9,.3458823529411765,58.24327472211459
WAG002369,30,WAG002801,63,10,.16305220883534138,46.86458533253102
WAG002193,33,WAG002393,199,25,.24813350900307424,114.6562361637318
WAG003035,22,WAG003106,30,7,.1880808080808081,38.22342526862789
WAG002317,31,WAG003080,33,8,.16589861751152074,40.869465882779934
WAG002118,55,WAG002186,144,23,.1881818181818182,93.37463197883163
WAG003098,25,WAG002022,93,10,.15407407407407409,44.941557468422616
WAG002145,42,WAG002596,246,21,.16292134831460675,78.32078128540797
WAG002145,42,WAG003002,114,19,.2014250955856796,83.82368815049621
WAG002801,63,WAG002395,34,12,.1835294117647059,56.98643572666322
WAG002801,63,WAG002841,89,32,.3149206349206349,156.56308492294917
WAG002683,29,WAG002186,144,18,.2170411568409344,82.84542595440995
WAG003234,22,WAG002786,67,13,.2550239234449761,69.62944881444918
WAG003207,29,WAG002933,17,5,.1563845050215208,27.17130821592568
WAG002208,40,WAG002596,246,24,.19328244274809164,95.61790428456699
WAG002208,40,WAG002656,164,21,.1968032786885246,88.64845375708842
WAG002354,40,WAG003129,72,12,.15600000000000006,52.930506916567204
WAG002454,19,WAG002440,21,11,.4192377495462796,73.69746569415105
WAG001976,22,WAG002380,318,14,.16162855549358618,53.63789559822885
WAG003202,25,WAG002536,35,7,.1616603773584906,35.996805512920155
WAG002450,19,WAG002444,28,14,.48676236044657106,94.56484122098995
WAG002857,31,WAG003231,18,12,.3927927927927928,77.0987213991569
WAG003232,16,WAG002526,10,7,.4347368421052632,50.65520928457362
WAG003232,16,WAG003234,22,10,.4107142857142857,67.26083531778974
