GS_ID,wFC,pFDR
WAG002554,1.9079,4.3324495073836e-16
WAG002557,1.7809,0.072719567436089
WAG002558,2.4542,0.17774833674017
WAG002561,1.6272,0.0015154687431489
WAG002562,8.0953,0.022348125817536
WAG002563,4.9194,0.022498732086554
WAG002662,1.7799,0.13041037200075
WAG002663,1.3062,0.45717350518554
WAG002665,1.8141,0.17604869179613
WAG002666,1.6347,1.5887951460999e-05
WAG002858,1.9501,0.13314631370213
WAG002859,1.3577,0.035000189221996
WAG002860,1.4574,9.9021546377179e-05
WAG002861,1.928,0.00030766363634947
WAG002862,1.8354,3.4582370151515e-07
WAG002866,1.7891,0.16013269173049
WAG002868,1.4973,1.4181669546688e-05
WAG002946,2.5079,0.00024623182651614
WAG002948,2.6488,0.15956884422439
WAG002949,1.9114,0.0015122849852851
WAG002950,1.4285,0.00032016372702903
WAG003002,2.1228,1.2674418588839e-10
WAG003005,1.6025,1.693416060463e-12
WAG002093,3.1242,3.642712508217e-15
WAG002142,1.3587,0.0020791704269352
WAG002143,1.4297,3.8513894337952e-08
WAG002236,1.634,0.2682803458601
WAG002237,1.5174,0.039817729614774
WAG002239,1.3129,0.00038378049429523
WAG002317,1.438,0.089012289113046
WAG002380,1.5989,4.8236066055128e-15
WAG002565,1.7474,2.8768766716088e-05
WAG002670,1.445,0.00047199074610607
WAG002671,2.6624,0.02229126035744
WAG002672,1.5077,0.00039689654938876
WAG002870,1.7049,0.041897652346918
WAG002871,1.4867,0.0011316395572154
WAG003006,1.851,0.00051600240259574
WAG003007,2.1054,0.0039520158796311
WAG002027,1.4788,5.8388920052647e-08
WAG002094,1.5593,0.00041460455050994
WAG002095,1.2874,2.5635652038252e-05
WAG002145,1.6328,5.4904358753405e-06
WAG002146,1.5674,1.6452620243122e-10
WAG002147,1.4371,0.00081302994676283
WAG002148,1.4963,0.07294401054546
WAG002149,1.6429,1.0655822165974e-11
WAG002241,1.5609,0.09623368794441
WAG002242,1.4361,0.41224539218028
WAG002243,4.9255,0.26719857027195
WAG002244,2.4087,0.080225373606543
WAG002246,1.5702,0.037413141312981
WAG002322,2.6139,1.8629640815067e-08
WAG002323,1.481,0.15853080175265
WAG002325,1.488,5.2527732607695e-06
WAG002326,1.3163,0.26611679468381
WAG002327,1.3733,0.20134854521163
WAG002381,1.5033,1.2431098452061e-05
WAG002384,2.0262,1.2881888251018e-10
WAG002477,6.558,0.00024670994656763
WAG002478,1.4941,0.00015584140847643
WAG002680,5.4629,0.17577335522084
WAG002683,1.6346,3.6890764156913e-05
WAG002771,3.7424,1.5459471421862e-08
WAG002873,2.3172,0.004674950496543
WAG002874,1.7689,5.9114903575735e-09
WAG002876,1.4929,1.6014108536817e-13
WAG003008,1.4292,0.0032151484489579
